tourney_date,surface,tourney_level,round,winner_id,winner_name,winner_hand,winner_age,winner_height,winner_rank,winner_rank_points,winner_recent_wins,loser_id,loser_name,loser_hand,loser_age,loser_height,loser_rank,loser_rank_points,loser_recent_wins,winner_hard_exp,winner_clay_exp,winner_grass_exp,loser_hard_exp,loser_clay_exp,loser_grass_exp,rank_points_ratio,h2h_wins
2000-03-06,Clay,A,R16,103264,Mariano Puerta,L,21.5,180.0,72.0,589.0,8,102106,Davide Sanguinetti,R,27.5,188.0,120.0,329.0,5,0,12,0,3,2,0,1.790273556231003,1
2000-03-06,Clay,A,R16,102456,Felix Mantilla,R,25.5,180.0,22.0,1121.0,2,103428,Juan Ignacio Chela,R,20.5,190.0,73.0,569.0,1,2,0,0,0,1,0,1.9701230228471005,3
2000-03-06,Clay,A,R16,103082,Markus Hantschk,R,22.3,188.0,105.0,391.0,6,102024,Hernan Gumy,R,28.0,188.0,68.0,619.0,5,4,2,0,4,1,0,0.6316639741518578,1
2000-03-06,Clay,A,R16,102856,Gustavo Kuerten,R,23.5,190.0,5.0,2254.0,7,102585,Sebastian Prieto,R,24.8,180.0,184.0,200.0,0,0,7,0,0,0,0,11.27,1
2000-03-06,Clay,A,R32,101962,Younes El Aynaoui,R,28.5,193.0,19.0,1241.0,9,103444,Jean Rene Lisnard,R,20.4,173.0,145.0,261.0,3,9,0,0,2,1,0,4.754789272030651,2
2000-03-06,Clay,A,R32,102477,Gaston Etlis,R,25.3,185.0,137.0,288.0,0,104027,Pablo Gonzalez,R,17.7,178.0,0.0,0.0,2,0,0,0,0,2,0,0.0,1
2000-03-06,Clay,A,R32,101969,Orlin Stanoytchev,R,28.4,185.0,102.0,407.0,4,101086,Ronald Agenor,R,35.3,180.0,90.0,454.0,6,2,2,0,4,2,0,0.8964757709251101,1
2000-03-06,Clay,A,R32,102287,Albert Portas,R,26.3,188.0,78.0,537.0,4,103084,Guillermo Canas,R,22.3,185.0,69.0,615.0,4,1,4,0,2,2,0,0.8731707317073171,2
2000-03-06,Clay,A,R32,102950,Fernando Vicente,R,23.0,180.0,45.0,800.0,5,102133,Laurence Tieleman,R,27.3,180.0,101.0,408.0,6,3,4,0,5,1,0,1.96078431372549,1
2000-03-06,Clay,A,R32,102720,Tomas Zib,R,24.1,178.0,108.0,375.0,3,102539,Bohdan Ulihrach,R,25.0,188.0,138.0,286.0,2,2,1,0,0,2,0,1.3111888111888113,1
2000-03-06,Clay,A,R32,103324,Arnaud Di Pasquale,R,21.1,185.0,56.0,700.0,0,102831,Jacobo Diaz,R,23.7,173.0,91.0,449.0,6,0,1,0,4,2,0,1.55902004454343,1
2000-03-06,Clay,A,R32,102106,Davide Sanguinetti,R,27.5,188.0,120.0,329.0,3,103292,Gaston Gaudio,R,21.2,175.0,50.0,737.0,5,3,0,0,3,2,0,0.44640434192673,1
2000-03-06,Clay,A,R32,103264,Mariano Puerta,L,21.5,180.0,72.0,589.0,8,101167,Jaime Cortes,R,34.6,0.0,0.0,0.0,0,0,11,0,0,0,0,0.0,1
2000-03-06,Clay,A,R32,103428,Juan Ignacio Chela,R,20.5,190.0,73.0,569.0,6,101826,Alex Lopez Moron,R,29.3,175.0,118.0,333.0,3,0,6,0,2,1,0,1.7087087087087087,2
2000-03-06,Clay,A,R32,102456,Felix Mantilla,R,25.5,180.0,22.0,1121.0,2,102869,Galo Blanco,R,23.4,173.0,77.0,549.0,4,2,1,0,2,2,0,2.0418943533697638,3
2000-03-06,Clay,A,QF,101962,Younes El Aynaoui,R,28.5,193.0,19.0,1241.0,9,102287,Albert Portas,R,26.3,188.0,78.0,537.0,4,9,2,0,2,2,0,2.310986964618249,4
2000-03-06,Clay,A,R32,102024,Hernan Gumy,R,28.0,188.0,68.0,619.0,3,103454,Nicolas Massu,R,20.4,183.0,97.0,429.0,3,2,1,0,2,1,0,1.442890442890443,3
2000-03-06,Clay,A,R32,103082,Markus Hantschk,R,22.3,188.0,105.0,391.0,6,101991,Mauricio Hadad,R,28.2,170.0,0.0,0.0,0,4,3,0,0,0,0,0.0,1
2000-03-06,Clay,A,R32,102585,Sebastian Prieto,R,24.8,180.0,184.0,200.0,0,102607,Juan Balcells,R,24.7,190.0,157.0,235.0,2,0,0,0,2,0,0,0.851063829787234,1
2000-03-06,Clay,A,R32,102856,Gustavo Kuerten,R,23.5,190.0,5.0,2254.0,7,101843,Sergi Bruguera,R,29.1,188.0,349.0,82.0,2,0,9,0,0,2,0,20.0,1
2000-03-06,Clay,A,QF,103264,Mariano Puerta,L,21.5,180.0,72.0,589.0,8,102456,Felix Mantilla,R,25.5,180.0,22.0,1121.0,3,0,10,0,3,0,0,0.5254237288135594,3
2000-03-06,Clay,A,R32,101675,Martin Rodriguez,R,30.2,178.0,129.0,315.0,1,102548,Juan Antonio Marin,R,25.0,175.0,74.0,558.0,5,1,0,0,3,2,0,0.5645161290322581,1
